ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2012,SP,,GUARULHOS NORTE,3518800.0,35925548,925548,,94.2,4.64,1.16,86.43,8.59,4.99,92.86,1.79,5.36
2012,SP,,SUL 2,3550308.0,35900102,900102,,98.79,0.3,0.91,96.23,1.65,2.12,83.13,13.99,2.88
2012,SP,,SUZANO,3552502.0,35007158,7158,,93.19,5.76,1.05,92.23,6.01,1.77,75.97,20.13,3.9
2012,SP,,SANTO ANDRE,3547809.0,35008424,8424,,85.71,9.09,5.19,76.84,15.93,7.23,59.09,29.19,
2012,SP,,BAURU,3506003.0,35049657,49657,,96.02,3.54,0.44,88.19,8.04,3.77,76.52,12.88,
2012,SP,,BAURU,3506003.0,35025483,25483,,97.42,1.29,1.29,92.92,5.31,1.77,71.51,18.16,10.34
2012,SP,,SAO JOSE DOS CAMPOS,3549904.0,35920459,920459,,96.2,2.72,1.09,82.17,11.46,6.37,69.44,,13.03
2012,SP,,CAMPINAS OESTE,3509502.0,35913923,913923,,97.94,1.55,0.52,91.21,6.69,2.09,,9.52,10.71
2012,SP,,MOGI MIRIM,3501905.0,35017565,17565,,92.12,6.67,1.21,97.84,1.3,0.87,82.2,,12.71
2012,SP,,SUL 2,3550308.0,35036274,36274,,96.13,0.35,3.52,85.01,7.76,7.23,58.52,25.63,15.85
2012,SP,,SUL 2,3550308.0,35902664,902664,,99.13,0.29,0.58,94.62,3.23,2.15,92.36,2.08,5.56
2012,SP,,SUL 3,3550308.0,35925135,925135,,91.23,0.88,7.89,86.41,4.85,8.74,77.5,,2.5
2012,SP,,LESTE 1,3550308.0,35002732,2732,,93.09,4.69,2.22,88.74,8.28,2.98,55.61,38.22,6.18
2012,SP,,SANTO ANDRE,3547809.0,35008369,8369,,92.61,6.25,1.14,86.32,6.84,6.84,,,22.05
2012,SP,,NORTE 1,3550308.0,35000024,24,,94.2,2.42,3.38,87.2,9.16,3.63,76.0,17.01,6.99
2012,SP,,NORTE 2,3550308.0,35911537,911537,,94.2,1.32,4.49,86.05,2.11,11.84,68.91,4.62,26.47
2012,SP,,LESTE 3,3550308.0,35039251,39251,,95.56,2.35,2.09,83.77,10.57,5.67,78.29,,9.47
2012,SP,,MAUA,3529401.0,35912384,912384,,98.54,1.17,0.29,91.86,6.37,1.77,,14.6,6.1
2012,SP,,CAMPINAS OESTE,3509502.0,35432842,432842,,96.45,2.96,0.59,90.18,1.6,8.22,79.23,,18.58
2012,SP,,CAMPINAS OESTE,3509502.0,35901124,901124,,96.9,0.93,2.17,91.18,1.26,7.56,72.35,7.34,20.3
2012,SP,,,3549904.0,35905100,905100,,95.59,1.47,2.94,87.15,9.5,3.35,68.34,28.17,3.49
2012,SP,,SAO JOSE DOS CAMPOS,3549904.0,35042316,42316,,93.82,4.36,1.82,92.45,6.41,1.14,79.06,12.19,8.75
2012,SP,,NORTE 1,3550308.0,35036444,36444,,94.17,0.52,5.31,91.24,3.15,5.61,,3.71,12.23
2012,SP,,,3550308.0,35041026,41026,,95.57,1.85,2.58,87.56,8.52,3.92,,24.76,8.52
2012,SP,,SUL 1,3550308.0,35901748,901748,,95.16,0.81,4.03,84.38,12.5,3.13,64.57,23.04,12.39
2012,SP,,SUL 3,3550308.0,35902901,902901,,95.27,3.36,1.37,94.72,5.15,0.13,87.97,11.58,0.45
